Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,176,0.010117,0.006506,0.009745,25304769255.650452,26269016689.941879,1259141146387.689209
32000000,16,864,177,0.009690,0.006545,0.009750,26418113497.909649,26257649087.321190,1251588931095.118652
32000000,16,864,178,0.009717,0.006524,0.009744,26345213895.660976,26271259576.344707,1255727763144.406738
32000000,16,864,179,0.009715,0.006557,0.009745,26350024460.131863,26270448114.048653,1249320590293.280029
32000000,16,864,180,0.009703,0.006514,0.010776,26383793920.596725,23756564258.969250,1257665240690.189209
32000000,16,864,181,0.009686,0.006565,0.010281,26430111662.842289,24899596750.880573,1247917028399.102539
32000000,16,864,182,0.010117,0.006515,0.009824,25302960946.600224,26058080197.941021,1257417566439.712402
32000000,16,864,183,0.009684,0.006558,0.009825,26435441910.695126,26055420081.717171,1249202664454.445068
32000000,16,864,184,0.010041,0.006484,0.009825,25495384793.103058,26056905221.059547,1263445897773.686279
32000000,16,864,185,0.009714,0.006540,0.010123,26354779809.088634,25288229010.568737,1252599962813.079834
32000000,16,864,186,0.009713,0.006506,0.010124,26357116066.496010,25286700313.918983,1259120244853.899902
32000000,16,864,187,0.009706,0.006534,0.009746,26375073746.357349,26268313171.098366,1253781086635.603271
32000000,16,864,188,0.009677,0.006468,0.009746,26453725199.187775,26266097729.600708,1266506755421.913574
32000000,16,864,189,0.009697,0.006503,0.009745,26401265198.844154,26269555805.646622,1259813070000.561768
32000000,16,864,190,0.009686,0.006536,0.011134,26429969767.009403,22991689402.362926,1253441148610.484131
32000000,16,864,191,0.009712,0.006571,0.011134,26358421400.042969,22992352260.054306,1246741609658.596191
32000000,16,864,192,0.009713,0.006436,0.011140,26357468846.063488,22979820223.311462,1272858072964.081299
32000000,16,864,193,0.010078,0.006553,0.009750,25402402334.691452,26256539515.107105,1250065997186.626221
32000000,16,864,194,0.009706,0.006500,0.009746,26374856351.651520,26268340117.559898,1260354810049.686523
32000000,16,864,195,0.010073,0.006548,0.009746,25413977315.739204,26266852339.858360,1251095204924.515625
32000000,16,864,196,0.009710,0.006539,0.011138,26364051297.698460,22984864820.817646,1252785965603.276855
32000000,16,864,197,0.009713,0.006559,0.009830,26357523125.237858,26043227080.535900,1248943269242.773438
32000000,16,864,198,0.009715,0.006524,0.009830,26351025301.310394,26043650989.000797,1255716599650.040527
32000000,16,864,199,0.009707,0.006550,0.009830,26371862213.190220,26043121095.937454,1250744881423.072754
